path,type,modified_at,size_bytes,word_count_estimate,tags,links_out,links_in,broken_links_count,empty_note,duplicate_stem
00 收件箱/22k Star 的开源 AI 平台！一条命令部署，Onyx 让企业级 RAG 变得如此简单.md,,2026-04-05 11:52:59,15211,3562,,1,0,1,no,no
00 收件箱/从采集到回顾，我用 AI 搭建了一套个人信息处理系统 - 少数派.md,,2026-04-03 17:30:31,42050,10960,,1,0,1,no,yes
00 收件箱/年度征文｜在 AI 的帮助下，给自己建了个数字人生档案馆 - 少数派.md,,2026-04-04 07:20:16,29886,7216,,1,0,1,no,no
00 收件箱/年度征文｜效率杂谈：告别纸笔拓荒，怎么用 AI 来辅助学习？ - 少数派.md,,2026-04-04 07:27:18,37791,9797,,1,0,1,no,no
01 日记/2026/2026-04/2026-04-03.md,日记,2026-04-03 20:51:00,829,165,日记,1,0,0,no,no
02 领域/00 领域总览.md,,2026-04-03 09:18:27,0,0,,0,0,0,yes,no
02 领域/01 职业与事业/00 领域主页.md,,2026-04-02 21:11:17,366,98,,0,0,0,no,yes
02 领域/01 职业与事业/01 职业定位.md,,2026-04-02 20:51:49,64,18,,0,0,0,yes,no
02 领域/01 职业与事业/02 本职工作.md,,2026-04-02 20:52:04,57,14,,0,0,0,yes,no
02 领域/01 职业与事业/03 能力建设.md,,2026-04-02 20:57:26,40,10,,0,0,0,yes,no
02 领域/01 职业与事业/04 作品与资产.md,,2026-04-02 20:57:42,36,9,,0,0,0,yes,no
02 领域/01 职业与事业/05 人脉与机会.md,,2026-04-02 20:57:54,39,11,,0,0,0,yes,no
02 领域/02 身体与精力/00 领域主页.md,,2026-04-02 18:23:52,0,0,,0,0,0,yes,yes
02 领域/02 身体与精力/01 睡眠与作息.md,,2026-04-02 20:58:06,0,0,,0,0,0,yes,no
02 领域/02 身体与精力/02 运动与体能.md,,2026-04-02 20:58:15,0,0,,0,0,0,yes,no
02 领域/02 身体与精力/03 饮食与体重.md,,2026-04-02 20:58:23,0,0,,0,0,0,yes,no
02 领域/02 身体与精力/04 体检与就医.md,,2026-04-02 20:58:30,0,0,,0,0,0,yes,no
02 领域/03 财务与保障/00 领域主页.md,,2026-04-02 18:23:32,0,0,,0,0,0,yes,yes
02 领域/03 财务与保障/02 收入结构.md,,2026-04-02 20:17:42,0,0,,0,0,0,yes,no
02 领域/03 财务与保障/03 资产负债.md,,2026-04-02 20:17:51,0,0,,0,0,0,yes,no
02 领域/03 财务与保障/04 储蓄投资.md,,2026-04-02 20:17:28,0,0,,0,0,0,yes,no
02 领域/03 财务与保障/05 保险税务社保.md,,2026-04-02 21:00:15,0,0,,0,0,0,yes,no
02 领域/03 财务与保障/06 大额目标.md,,2026-04-02 21:00:58,36,9,,0,0,0,yes,no
02 领域/04 家庭与亲密关系/00 领域主页.md,,2026-04-02 18:23:46,0,0,,0,0,0,yes,yes
02 领域/04 家庭与亲密关系/01 父母家人.md,,2026-04-02 21:01:34,0,0,,0,0,0,yes,no
02 领域/04 家庭与亲密关系/02 家庭事务.md,,2026-04-02 21:01:41,0,0,,0,0,0,yes,no
02 领域/04 家庭与亲密关系/03 伴侣关系.md,,2026-04-02 21:01:49,0,0,,0,0,0,yes,no
