path,is_orphan,broken_links_count,broken_targets,empty_note,duplicate_stem,links_out,links_in
00 收件箱/22k Star 的开源 AI 平台！一条命令部署，Onyx 让企业级 RAG 变得如此简单.md,no,1,何三笔记,no,no,1,0
00 收件箱/从采集到回顾，我用 AI 搭建了一套个人信息处理系统 - 少数派.md,no,1,张立行,no,yes,1,0
00 收件箱/年度征文｜在 AI 的帮助下，给自己建了个数字人生档案馆 - 少数派.md,no,1,吃瓜,no,no,1,0
00 收件箱/年度征文｜效率杂谈：告别纸笔拓荒，怎么用 AI 来辅助学习？ - 少数派.md,no,1,Haoo_7,no,no,1,0
01 日记/2026/2026-04/2026-04-03.md,no,0,,no,no,1,0
02 领域/00 领域总览.md,yes,0,,yes,no,0,0
02 领域/01 职业与事业/00 领域主页.md,yes,0,,no,yes,0,0
02 领域/01 职业与事业/01 职业定位.md,yes,0,,yes,no,0,0
02 领域/01 职业与事业/02 本职工作.md,yes,0,,yes,no,0,0
02 领域/01 职业与事业/03 能力建设.md,yes,0,,yes,no,0,0
02 领域/01 职业与事业/04 作品与资产.md,yes,0,,yes,no,0,0
02 领域/01 职业与事业/05 人脉与机会.md,yes,0,,yes,no,0,0
02 领域/02 身体与精力/00 领域主页.md,yes,0,,yes,yes,0,0
02 领域/02 身体与精力/01 睡眠与作息.md,yes,0,,yes,no,0,0
02 领域/02 身体与精力/02 运动与体能.md,yes,0,,yes,no,0,0
02 领域/02 身体与精力/03 饮食与体重.md,yes,0,,yes,no,0,0
02 领域/02 身体与精力/04 体检与就医.md,yes,0,,yes,no,0,0
02 领域/03 财务与保障/00 领域主页.md,yes,0,,yes,yes,0,0
02 领域/03 财务与保障/02 收入结构.md,yes,0,,yes,no,0,0
02 领域/03 财务与保障/03 资产负债.md,yes,0,,yes,no,0,0
02 领域/03 财务与保障/04 储蓄投资.md,yes,0,,yes,no,0,0
02 领域/03 财务与保障/05 保险税务社保.md,yes,0,,yes,no,0,0
02 领域/03 财务与保障/06 大额目标.md,yes,0,,yes,no,0,0
02 领域/04 家庭与亲密关系/00 领域主页.md,yes,0,,yes,yes,0,0
02 领域/04 家庭与亲密关系/01 父母家人.md,yes,0,,yes,no,0,0
02 领域/04 家庭与亲密关系/02 家庭事务.md,yes,0,,yes,no,0,0
02 领域/04 家庭与亲密关系/03 伴侣关系.md,yes,0,,yes,no,0,0
